Ê±¼ä,H1,H2,H3,HT1,HT2
             3.56000,            47.29746,            37.72184,            17.58686,            48.38617,            25.13332
             3.56500,            47.38622,            39.50558,            18.27960,            48.44060,            26.34035
             3.57000,            47.47348,            40.86682,            19.01906,            48.48264,            27.61327
             3.57500,            47.55148,            41.91824,            19.80922,            48.52700,            28.96676
             3.58000,            47.62802,            42.69583,            20.63304,            48.56732,            30.39508
             3.58500,            47.69372,            43.31640,            21.51324,            48.60764,            31.89353
             3.59000,            47.76241,            43.80609,            22.45757,            48.64393,            33.45329
             3.59500,            47.82094,            44.21306,            23.51086,            48.67888,            35.16592
             3.60000,            47.88451,            44.53254,            24.63481,            48.71683,            37.08251
             3.60500,            47.93579,            44.81444,            25.83507,            48.74659,            38.86134
             3.61000,            47.98770,            45.05151,            27.10424,            48.78003,            40.23440
             3.61500,            48.04318,            45.25223,            28.44670,            48.80633,            41.29300
             3.62000,            48.08561,            45.41843,            29.87078,            48.83680,            42.08635
             3.62500,            48.13634,            45.57218,            31.36572,            48.86328,            42.72022
             3.63000,            48.16924,            45.70984,            32.91927,            48.89398,            43.21996
             3.63500,            48.21763,            45.84640,            34.62496,            48.91295,            43.63860
             3.64000,            48.24802,            45.96079,            36.53488,            48.93525,            43.96709
             3.64500,            48.29340,            46.07929,            38.30684,            48.95659,            44.25564
             3.65000,            48.32070,            46.17877,            39.68927,            48.98018,            44.50196
             3.65500,            48.36587,            46.28395,            40.75294,            49.00071,            44.70506
             3.66000,            48.39158,            46.37166,            41.55509,            49.01164,            44.88018
             3.66500,            48.42459,            46.46362,            42.34110,            49.03434,            45.04317
             3.67000,            48.45148,            46.54223,            43.19026,            49.04515,            45.18730
             3.67500,            48.48257,            46.62587,            44.12589,            49.07166,            45.33158
             3.68000,            48.50990,            46.69676,            45.09108,            49.07881,            45.45685
             3.68500,            48.53783,            46.76926,            46.09747,            49.10845,            45.57839
             3.69000,            48.56204,            46.83488,            47.11787,            49.10983,            45.68753
             3.69500,            48.58746,            46.90217,            48.14097,            49.13253,            45.79509
             3.70000,            48.60893,            46.95747,            49.17401,            49.13693,            45.88742
             3.70500,            48.63266,            47.02038,            50.22398,            49.15822,            46.12370
             3.71000,            48.65250,            47.07640,            51.33586,            49.16229,            46.54090
             3.71500,            48.67988,            47.13239,            52.54650,            49.18303,            47.12987
             3.72000,            48.68923,            47.18306,            53.81710,            49.18651,            47.82574
             3.72500,            48.71843,            47.23463,            55.15461,            49.20655,            48.60546
             3.73000,            48.72708,            47.28120,            56.55098,            49.20805,            49.43530
             3.73500,            48.75420,            47.33161,            58.01747,            49.22394,            50.31286
             3.74000,            48.76214,            47.37146,            59.55311,            49.23271,            51.21728
             3.74500,            48.78845,            47.55292,            61.15372,            49.24504,            52.15881
             3.75000,            48.79555,            47.91645,            62.80738,            49.24821,            53.17325
             3.75500,            48.82093,            48.45167,            64.60216,            49.26192,            54.28577
             3.76000,            48.82586,            49.10007,            66.58885,            49.27450,            55.47172
             3.76500,            48.84750,            49.83051,            68.45599,            49.28417,            56.72939
             3.77000,            48.85828,            50.61709,            69.95933,            49.29412,            58.05317
             3.77500,            48.87190,            51.44527,            71.15995,            49.30255,            59.45243
             3.78000,            48.88135,            52.31436,            72.09567,            49.31171,            60.92509
             3.78500,            48.89541,            53.21681,            72.85531,            49.31955,            62.46461
             3.79000,            48.91442,            54.19165,            73.47761,            49.32819,            64.06139
             3.79500,            48.92473,            55.27230,            74.00261,            49.33685,            65.79875
             3.80000,            48.94110,            56.41728,            74.44493,            49.34268,            67.73174
             3.80500,            48.95007,            57.64499,            74.84281,            49.34692,            69.55023
             3.81000,            48.96549,            58.93002,            75.18677,            49.35227,            71.01891
             3.81500,            48.97371,            60.29776,            75.50072,            49.35911,            72.18169
             3.82000,            48.98431,            61.73239,            75.77210,            49.36543,            73.09446
             3.82500,            49.12749,            63.24627,            76.02786,            49.37240,            73.83836
             3.83000,            49.44798,            64.80804,            76.26087,            49.37866,            74.45499
             3.83500,            49.93784,            66.51988,            76.49135,            49.38932,            74.97459
             3.84000,            50.54003,            68.41175,            76.70307,            49.39318,            75.38473
             3.84500,            51.22868,            70.21218,            76.90597,            49.40245,            75.76099
             3.85000,            51.97355,            71.66252,            77.10217,            49.40604,            76.07545
             3.85500,            52.76417,            72.81738,            77.28508,            49.53973,            76.36687
             3.86000,            53.59533,            73.71792,            77.45902,            49.85130,            76.61020
             3.86500,            54.46268,            74.45066,            77.62922,            50.32910,            76.84945
             3.87000,            55.39992,            75.06627,            77.78805,            50.92157,            77.05717
